@relation emm-weka.filters.unsupervised.attribute.Remove-R8-32

@attribute C numeric
@attribute coef0 numeric
@attribute gamma numeric
@attribute kernel {poly,sigmoid,rbf}
@attribute tol numeric
@attribute y numeric
@attribute task_id numeric

@data
206.854513,0.006589,0.369398,sigmoid,0.006717,0.522215,3
976.699968,-0.51429,1.869066,poly,0.003656,0.970901,3
1640.493838,0.338335,0.006321,rbf,0.000322,0.995307,3
987.938672,0.589661,0.003289,rbf,0.016672,0.995307,3
0.165152,-0.19743,0.000402,poly,0.0475,0.902691,3
14816.476645,0.116469,0.046869,rbf,0.030504,0.986859,3
273.063366,-0.979455,1.241792,poly,0.000148,0.993429,3
373.163735,-0.236789,0.608751,poly,0.000014,0.993742,3
3020.245821,0.22634,0.001345,sigmoid,0.003922,0.59199,3
2658.846889,0.717263,0.018035,poly,0.034496,0.972153,3
18005.086288,0.067176,0.001884,sigmoid,0.000251,0.610451,3
918.866322,-0.678917,0.080948,sigmoid,0.000011,0.522215,3
22.188633,-0.945776,0.000169,poly,0.000357,0.876095,3
1.702691,-0.456255,1.224519,rbf,0.000224,0.522528,3
8.51518,-0.366633,0.126163,poly,0.000032,0.994368,3
8643.146606,-0.029599,0.601199,poly,0.006227,0.993742,3
33.92287,0.927174,4.725906,sigmoid,0.000121,0.522215,3
44.237366,-0.83178,0.000386,sigmoid,0.061428,0.939299,3
209.44364,-0.394988,1.391631,rbf,0.018631,0.522528,3
0.15753,0.174842,0.000031,sigmoid,0.000355,0.845745,3
0.931833,-0.878237,0.00608,sigmoid,0.000026,0.542553,3
0.266407,-0.992083,0.00018,poly,0.000447,0.819462,3
0.0769,-0.327348,0.016112,poly,0.000016,0.993429,3
211.871476,0.83544,0.004587,poly,0.005751,0.993742,3
232.305364,0.237363,2.970003,rbf,0.000013,0.522528,3
0.27223,-0.332587,0.009678,sigmoid,0.000033,0.528786,3
203.143586,-0.810818,0.331946,sigmoid,0.079165,0.522215,3
235.12943,0.135787,1.67687,poly,0.000408,0.993429,3
481.820675,0.617839,0.002505,rbf,0.000013,0.994994,3
12.355022,-0.327764,0.001458,poly,0.000064,0.993429,3
147.531908,0.879437,0.002368,sigmoid,0.00144,0.604506,3
21.845498,0.375904,0.009491,poly,0.020112,0.993429,3
365.16146,0.858883,0.000073,sigmoid,0.000056,0.938986,3
1344.303539,0.707574,0.211517,poly,0.026746,0.993742,3
9153.333433,-0.238162,0.000382,rbf,0.000016,0.992804,3
17.594658,0.953759,1.191432,sigmoid,0.000038,0.522215,3
235.051207,0.744853,0.012694,sigmoid,0.001455,0.528786,3
1.059592,0.651651,0.000166,rbf,0.000874,0.917397,3
0.052792,0.13187,0.003013,sigmoid,0.01366,0.546934,3
5.625919,-0.146219,0.000043,rbf,0.000071,0.921464,3
5.716394,0.38424,0.000283,sigmoid,0.006568,0.917084,3
1585.05496,-0.506968,1.074989,sigmoid,0.00607,0.522215,3
20.407941,0.523903,0.000643,sigmoid,0.000218,0.878911,3
691.4041,0.174529,0.000538,rbf,0.015233,0.989987,3
0.746166,0.381132,0.008977,sigmoid,0.001873,0.529725,3
0.255648,0.394056,0.000074,sigmoid,0.000398,0.842303,3
0.213044,-0.43823,0.015047,poly,0.012981,0.993429,3
46.126182,-0.93678,0.005736,poly,0.063944,0.965895,3
9.564148,-0.99771,0.234964,poly,0.00627,0.968398,3
0.054978,-0.946991,0.003512,sigmoid,0.00315,0.55413,3
18.651016,0.612143,0.000808,sigmoid,0.000114,0.811952,3
14238.036287,-0.848967,0.000672,poly,0.000014,0.965582,3
103.756938,0.126688,0.000307,rbf,0.000022,0.963705,3
2.401276,-0.354375,0.035067,sigmoid,0.000022,0.522215,3
0.138274,-0.908138,0.540499,rbf,0.007799,0.900501,3
0.070338,-0.43955,0.000235,sigmoid,0.000465,0.845745,3
7480.037701,0.75994,0.004599,rbf,0.001594,0.994994,3
12.169091,-0.364829,0.349894,sigmoid,0.013345,0.522215,3
12418.240435,0.497694,0.00096,rbf,0.000087,0.993742,3
0.083165,0.236443,0.019631,sigmoid,0.001968,0.523467,3
24.299732,-0.454744,0.025135,rbf,0.000036,0.991239,3
27119.156616,0.326348,0.012381,rbf,0.006158,0.993116,3
0.418411,-0.897391,0.014111,sigmoid,0.000063,0.524406,3
263.23303,-0.649182,0.000212,rbf,0.003389,0.974343,3
0.133825,-0.305639,0.000114,poly,0.074394,0.65582,3
33.030463,-0.433114,0.0087,rbf,0.00065,0.994368,3
9819.456238,0.815508,0.01298,rbf,0.000062,0.993116,3
11505.956613,-0.760317,0.000264,poly,0.000032,0.953692,3
3891.702861,-0.159017,5.084439,sigmoid,0.03935,0.522215,3
14714.067386,-0.405977,0.025643,sigmoid,0.000013,0.523154,3
0.224189,0.399685,0.00084,rbf,0.008597,0.918335,3
2921.404918,-0.007646,2.063605,rbf,0.001659,0.522528,3
28567.301181,0.771159,0.065845,rbf,0.000338,0.983104,3
0.067582,0.408894,0.940182,poly,0.036132,0.994055,3
101.680483,-0.132129,0.001168,poly,0.000071,0.993116,3
0.237709,0.715826,0.004057,rbf,0.000011,0.925845,3
122.753726,-0.393878,0.007472,rbf,0.091025,0.994994,3
108.573797,0.155951,0.003997,poly,0.001322,0.994055,3
6.548657,0.618101,0.004796,rbf,0.000187,0.991552,3
0.097362,-0.483177,0.24969,rbf,0.000513,0.914581,3
1.784396,-0.690743,0.049265,poly,0.001442,0.994055,3
403.042137,-0.851493,0.002261,sigmoid,0.024018,0.611702,3
0.845411,0.531742,0.099732,poly,0.002221,0.948373,3
1.104699,-0.062409,0.029581,sigmoid,0.000077,0.522215,3
98.2269,-0.12887,4.122064,sigmoid,0.01016,0.522215,3
0.914204,-0.684201,5.521168,poly,0.000112,0.994055,3
49.74914,-0.650193,0.001835,sigmoid,0.061467,0.600125,3
16027.325744,0.819509,0.000088,poly,0.010463,0.989675,3
148.436405,-0.838211,0.000249,rbf,0.000128,0.963079,3
0.049862,0.307813,0.126422,sigmoid,0.000676,0.522215,3
1478.180206,-0.844885,0.118079,poly,0.056422,0.973404,3
0.128157,-0.963276,0.010357,sigmoid,0.001501,0.529412,3
639.252199,0.087695,0.338175,sigmoid,0.000119,0.522215,3
1.122719,-0.808072,0.144665,sigmoid,0.000044,0.522215,3
1.672102,-0.449787,0.000604,sigmoid,0.015481,0.867334,3
1.329862,-0.642713,0.008209,rbf,0.000243,0.974656,3
0.065985,0.689314,0.858215,sigmoid,0.000207,0.522215,3
0.195391,-0.977974,0.099347,poly,0.026449,0.993429,3
2109.422138,0.706793,4.05528,sigmoid,0.000338,0.522215,3
91.813829,-0.710785,0.000066,sigmoid,0.000322,0.940238,3
452.181389,-0.062977,0.0136,rbf,0.000015,0.993429,3
12.139761,0.518515,0.00201,sigmoid,0.000377,0.597622,3
1.360591,0.204121,4.196146,sigmoid,0.003485,0.522215,3
317.774012,0.166713,0.969439,rbf,0.065177,0.522528,3
1.382659,0.239812,0.00006,poly,0.028153,0.857947,3
1.62898,0.288344,1.599323,rbf,0.000085,0.522528,3
2.050472,0.737128,0.668012,poly,0.000957,0.994368,3
15.793309,-0.601456,0.000188,poly,0.000357,0.904255,3
9.448894,0.489574,0.720945,poly,0.033884,0.994055,3
7.553342,0.654866,0.459864,poly,0.028113,0.993429,3
1.441762,0.256896,0.003707,poly,0.010676,0.994055,3
114.59002,-0.007807,0.120608,poly,0.000058,0.994368,3
16.493312,-0.071656,0.014792,rbf,0.000087,0.993116,3
21843.88669,0.929863,0.00083,rbf,0.000022,0.993742,3
468.88526,0.205066,0.000138,rbf,0.000151,0.972466,3
1.940483,0.827487,1.651088,sigmoid,0.000684,0.522215,3
20.144953,-0.418254,0.000216,sigmoid,0.000041,0.940864,3
1.053902,-0.829706,0.036816,rbf,0.007069,0.98811,3
10.349233,0.260104,0.005081,poly,0.028725,0.952441,3
1.916573,0.974564,0.042426,poly,0.034065,0.994681,3
929.557525,-0.280046,0.000044,sigmoid,0.000104,0.952753,3
540.767227,-0.831388,0.000082,rbf,0.003246,0.95025,3
15398.365834,-0.282776,3.902448,sigmoid,0.001041,0.522215,3
0.564275,-0.98225,1.307592,sigmoid,0.000011,0.522215,3
1313.781522,-0.801879,0.021379,poly,0.000032,0.993429,3
0.748788,-0.685831,0.139144,rbf,0.002777,0.961514,3
2310.052303,0.512724,0.696861,poly,0.000173,0.994055,3
81.026314,0.985361,0.11386,sigmoid,0.000996,0.522215,3
5.765608,-0.058437,1.667982,sigmoid,0.000042,0.522215,3
10.076158,0.795528,4.809376,sigmoid,0.000226,0.522215,3
3.129721,-0.481224,3.146332,poly,0.000859,0.993742,3
202.255874,0.977141,3.023495,sigmoid,0.000866,0.522215,3
544.209273,-0.631222,0.000096,rbf,0.000012,0.965269,3
652.773066,0.919761,0.26175,rbf,0.000991,0.943367,3
0.563973,0.371319,0.06582,poly,0.004978,0.993429,3
0.036535,0.335785,6.840922,rbf,0.0049,0.522215,3
1520.211346,0.531863,0.000382,rbf,0.011413,0.9903,3
7.75108,0.922438,0.002355,rbf,0.000142,0.97622,3
2.098206,-0.865983,0.006095,poly,0.000588,0.994055,3
7180.334842,-0.387985,0.000096,sigmoid,0.001317,0.969337,3
78.41935,-0.168432,0.532639,sigmoid,0.009231,0.522215,3
105.175339,0.775533,0.000616,rbf,0.000048,0.982478,3
80.832782,-0.230897,0.000651,poly,0.000271,0.987171,3
206.7777,-0.074715,3.53629,sigmoid,0.02007,0.522215,3
15.08946,0.82297,0.008242,rbf,0.002597,0.992804,3
0.505929,-0.949894,0.561649,rbf,0.000091,0.902378,3
11731.61803,0.589049,0.000266,poly,0.001399,0.969962,3
23133.515036,0.378382,4.006083,sigmoid,0.000705,0.522215,3
488.942754,0.204076,0.000977,sigmoid,0.000057,0.561952,3
105.130961,0.901896,0.06402,poly,0.000094,0.971527,3
0.080008,-0.427451,0.006155,sigmoid,0.006073,0.527847,3
1.875467,-0.341155,0.008857,sigmoid,0.000257,0.528473,3
2.232047,-0.497129,0.133335,sigmoid,0.068571,0.522215,3
103.241009,0.260825,2.022418,poly,0.000632,0.993742,3
